"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          63,      -5.231595371,      -1.891041021,      -2.643344681,       0.239350882,      -7.606852184
          0,           0,          64,      -5.178384211,      -1.897432762,      -2.570954128,      0.2974494276,      -7.572115706
          0,           0,          65,      -5.112208142,      -1.909753339,      -2.508723183,      0.3669756024,      -7.613479004
          0,           0,          66,      -5.294378358,      -1.912885267,      -2.684315405,      0.1779455538,      -7.594876159
          0,           0,          67,      -5.205718775,       -1.91887272,      -2.595641022,      0.2711214507,      -7.562822441
          0,           0,          68,      -5.122818416,      -1.930189899,       -2.54168288,      0.3536249979,      -7.599974732
          0,           0,          69,       -5.34160906,      -1.933453685,       -2.72507429,      0.1319529121,      -7.583359426
          0,           0,          70,      -5.213136913,      -1.938650782,      -2.638379457,      0.2604248841,      -7.550660859
          0,           0,          71,      -5.145528507,       -1.94918421,      -2.596686326,       0.328037086,      -7.585718258
          0,           0,          72,      -5.360514387,      -1.952704521,      -2.768466081,      0.1114691043,      -7.567491224
          0,           0,          73,      -5.248097702,      -1.957440417,      -2.702905698,      0.2223449741,      -7.535026645
          0,           0,          74,       -5.20437262,       -1.96755285,      -2.663773944,      0.2688897349,       -7.56679276
          0,           0,          75,      -5.380876808,      -1.970885577,      -2.815316032,     0.08853160324,      -7.549933268
          0,           0,          76,      -5.315764335,      -1.975640573,      -2.762381741,      0.1546574024,       -7.52020295
          0,           0,          77,      -5.277484737,      -1.985410824,      -2.712220794,      0.1982215922,      -7.547136331
          0,           0,          78,      -5.424463688,      -1.988256264,      -2.861252691,     0.04381991493,      -7.531668706
          0,           0,          79,      -5.379620482,       -1.99302765,      -2.795326334,     0.09368477548,      -7.499120844
          0,           0,          80,      -5.320335764,      -2.002274869,      -2.741187947,      0.1564253364,      -7.525595616
          0,           0,          81,      -5.483526893,      -2.004811932,      -2.907151404,    -0.01471888508,      -7.507926518
          0,           0,          82,      -5.407517795,      -2.009237507,      -2.826287833,       0.066304237,      -7.478939401
          0,           0,          83,      -5.337648341,      -2.017849035,      -2.783170681,      0.1365649783,      -7.500008817
          0,           0,          84,      -5.529396553,      -2.020375185,      -2.957717142,    -0.06040987631,      -7.485225758
          0,           0,          85,      -5.425941228,       -2.02429599,      -2.883880001,     0.04471384306,      -7.456916328
          0,           0,          86,      -5.370911425,      -2.032369923,      -2.853251388,      0.1003234301,      -7.440845487
          0,           0,          87,      -5.398903775,      -2.040459433,      -2.883451206,     0.07208885934,      -7.427388227
          0,           0,          88,      -5.424082632,      -2.048101874,      -2.913063144,     0.04661676365,      -7.442569096
          0,           0,          89,      -5.572381618,       -2.05027344,      -3.059790478,     -0.1068780358,      -7.428079768
          0,           0,          90,      -5.520585347,       -2.05366372,      -3.014607453,    -0.05351312072,      -7.403453828
          0,           0,          91,      -5.487416171,      -2.060736761,      -2.971444782,      -0.016279592,      -7.414065131
          0,           0,          92,      -5.608491401,      -2.062776803,      -3.111275969,     -0.1448382997,      -7.401606556
          0,           0,          93,      -5.575012899,      -2.066050921,       -3.05236131,     -0.1070746241,      -7.372193604
          0,           0,          94,       -5.52536471,      -2.072554005,      -3.001766143,    -0.05408235744,      -7.383618173
          0,           0,          95,      -5.652748428,       -2.07438703,      -3.158970411,     -0.1899721471,      -7.369101657
          0,           0,          96,      -5.599222976,      -2.077367986,      -3.084417723,     -0.1315327357,      -7.346746319
          0,           0,          97,      -5.540999363,      -2.083249542,      -3.046061458,     -0.0720031215,      -7.353303707
          0,           0,          98,      -5.685055156,      -2.085021493,      -3.210100772,     -0.2232081344,      -7.342592453
          0,           0,          99,      -5.614754497,      -2.087650443,       -3.14441035,     -0.1499276105,      -7.316017802
          0,           0,         100,      -5.566736755,      -2.092965929,        -3.1202216,     -0.1006035188,      -7.300375305
          0,           0,         101,      -5.587308297,      -2.098244611,      -3.148086254,     -0.1218433465,      -7.286336317
          0,           0,         102,      -5.604632481,      -2.103165332,      -3.178516942,      -0.139976834,      -7.289447383
          0,           0,         103,        -5.7137888,      -2.104659863,      -3.310785214,     -0.2550173199,      -7.279975235
          0,           0,         104,      -5.678930874,      -2.106745544,      -3.280248939,     -0.2186369097,      -7.254585372
          0,           0,         105,      -5.644780504,      -2.111095722,      -3.241148794,     -0.1808134854,      -7.257725928
          0,           0,         106,      -5.733818746,       -2.11252708,      -3.363804373,     -0.2763087765,       -7.24728471
          0,           0,         107,      -5.710465272,      -2.114493645,      -3.317429256,     -0.2501449395,      -7.229930401
          0,           0,         108,      -5.669192482,      -2.118570952,      -3.271366767,     -0.2058902277,      -7.231313711
          0,           0,         109,      -5.757998544,      -2.119895193,      -3.415197357,     -0.3015171304,      -7.220360228
          0,           0,         110,      -5.726822201,      -2.121718312,      -3.354636267,     -0.2670963582,      -7.198839063
          0,           0,         111,      -5.683232824,      -2.125573008,      -3.319580179,     -0.2219022863,      -7.200172353
          0,           0,         112,      -5.775937883,      -2.126834965,      -3.473866417,      -0.320297763,      -7.191773097
          0,           0,         113,      -5.738851845,      -2.128541292,      -3.421467066,     -0.2808107138,      -7.173823975
          0,           0,         114,      -5.702403991,      -2.132264643,      -3.398606331,     -0.2435241093,      -7.175795163
